1	и	14345348	38310.452551105125
2	в	11335734	30273.026457005373
3	не	6545609	17480.596707210356
4	на	5737426	15322.27636014664
5	я	4998377	13348.584146654037
6	он	4947719	13213.297717538906
7	быть	4843591	12935.215177941993
8	что	4675069	12485.16307151576
9	с	4253772	11360.054170119787
10	а	2815475	7518.961645010125
11	как	2505731	6691.764367189502
12	то	2261069	6038.374017784351
13	она	2227685	5949.219251516842
14	к	2185239	5835.863655752681
15	этот	2109612	5633.895422212273
16	это	2097072	5600.4063026042395
17	по	2089119	5579.1671504317765
18	но	2062425	5507.87858912262
19	они	1915969	5116.755582638241
20	мы	1772879	4734.621760890757
21	свой	1718580	4589.611736521013
22	который	1703197	4548.530147451605
23	из	1669273	4457.933265985663
24	весь	1616065	4315.836848433492
25	у	1572078	4198.365883186399
26	за	1487183	3971.646679906976
27	от	1467970	3920.3367552635036
28	все	1368273	3654.087572044837
29	о	1361776	3636.7367897407394
30	так	1357693	3625.8327964903724
31	же	1297018	3463.7951304443272
32	вы	1163388	3106.9250305064115
33	для	1150019	3071.221997010415
34	мочь	1139491	3043.1060918083917
35	ты	1118783	2987.803644532223
36	год	1111801	2969.157629133237
37	один	1110290	2965.1223771613286
38	его	1103656	2947.4057248902204
39	тот	1096373	2927.9558637972937
40	человек	1084431	2896.0637532423393
41	только	1004688	2683.1033971894376
42	такой	962928	2571.579821844026
43	бы	948112	2532.012453732972
44	себя	935991	2499.6423086955742
45	сказать	920200	2457.4711214762397
46	еще	899685	2402.684096854326
47	мой	817174	2182.3315651176104
48	или	807411	2156.2586564466988
49	говорить	801050	2139.2710735259097
50	до	794052	2120.58232878771
51	время	768251	2051.6785987233675
52	уже	757837	2023.8671400632352
53	когда	756600	2020.5636280253457
54	другой	753279	2011.6946195549885
55	наш	717777	1916.883557009184
56	да	654661	1748.3269961494857
57	если	647885	1730.2311209928641
58	знать	644576	1721.3941595269168
59	вот	618116	1650.7305148037465
60	сам	618081	1650.6370443742185
61	ни	596498	1592.9978363598502
62	день	585302	1563.0979812456924
63	дело	583032	1557.0357562448762
64	при	563150	1503.939211105569
65	стать	557706	1489.4005534384132
66	чтобы	556761	1486.876851841157
67	самый	551223	1472.0871593061263
68	жизнь	531854	1420.3606236053292
69	очень	525880	1404.4065565767496
70	нет	525422	1403.1834292417832
71	во	518561	1384.860554470594
72	даже	514289	1373.4518209007758
73	два	510161	1362.4276513838731
74	рука	491628	1312.9337236569452
75	ее	485912	1297.6686672231717
76	первый	477689	1275.7084574514927
77	ли	454761	1214.4773143595482
78	под	440182	1175.5428745855838
79	со	439392	1173.4331134619517
80	кто	437200	1167.579193989798
81	где	435603	1163.3142718196202
82	новый	431285	1151.7826913995655
83	слово	427548	1141.8027201096756
84	какой	425011	1135.0274492607457
85	раз	418547	1117.7647962187739
86	теперь	403544	1077.6980289556702
87	их	402082	1073.7936355851007
88	идти	402002	1073.5799888890365
89	без	399192	1066.075648689788
90	после	395383	1055.9033953734408
91	иметь	394195	1052.7307419368901
92	там	389633	1040.5475390938402
93	ничто	388024	1036.250569919253
94	должен	377820	1008.9999338362888
95	большой	376185	1004.6335294854806
96	видеть	374580	1000.3472426456965
97	место	370104	988.3937100009155
